Site,Category,Total Jobs,Completed Jobs,Average Completion Time,Average Waiting Time
1,0,37,35,5.565257142857145,0.2675520020124446
1,1,32,31,6.632688172043016,0.2786046719444435
1,2,38,35,5.235035714285716,0.22766387695776494
