Category,Total Jobs,Completed Jobs,Average Completion Time,Average Waiting Time
0,106,102,6.343235294117646,0.2642394638138157
1,107,104,8.00400641025641,0.23888229773061212
2,105,102,8.715906862745108,0.357830598717543
