time,throughput,connection_id,src,dst
1.5,0.0,13302,<entities.processor.Processor object at 0x0000015CCBE64910>,<entities.dtn.DTN object at 0x0000015CCBE64940>
1.6000999999999999,96.0,52093,<entities.dtn.DTN object at 0x0000015CCBE64940>,<entities.processor.Processor object at 0x0000015CCBE64910>
2.6001,54.0,52093,<entities.dtn.DTN object at 0x0000015CCBE64940>,<entities.processor.Processor object at 0x0000015CCBE64910>
3.6001,10.5,52093,<entities.dtn.DTN object at 0x0000015CCBE64940>,<entities.processor.Processor object at 0x0000015CCBE64910>
2.5,0.0,71964,<entities.processor.Processor object at 0x0000015CCBE7CE20>,<entities.dtn.DTN object at 0x0000015CCBE64940>
2.5,0.0,2206,<entities.processor.Processor object at 0x0000015CCBE8C100>,<entities.dtn.DTN object at 0x0000015CCBE64940>
2.5,0.0,50965,<entities.processor.Processor object at 0x0000015CCBE8C640>,<entities.dtn.DTN object at 0x0000015CCBE64940>
2.5001,0.0,56327,<entities.dtn.DTN object at 0x0000015CCBE64940>,<entities.processor.Processor object at 0x0000015CCBE7CE20>
3.5001,75.0,56327,<entities.dtn.DTN object at 0x0000015CCBE64940>,<entities.processor.Processor object at 0x0000015CCBE7CE20>
4.5001,176.5,56327,<entities.dtn.DTN object at 0x0000015CCBE64940>,<entities.processor.Processor object at 0x0000015CCBE7CE20>
2.5001,123.0,70157,<entities.dtn.DTN object at 0x0000015CCBE64940>,<entities.processor.Processor object at 0x0000015CCBE8C640>
3.5001,219.5,70157,<entities.dtn.DTN object at 0x0000015CCBE64940>,<entities.processor.Processor object at 0x0000015CCBE8C640>
4.0,0.0,61241,<entities.processor.Processor object at 0x0000015CCBE7C2B0>,<entities.dtn.DTN object at 0x0000015CCBE64940>
4.016539999999999,75.5,3816,<entities.dtn.DTN object at 0x0000015CCBE64940>,<entities.processor.Processor object at 0x0000015CCBE7C2B0>
4.047625000000006,10.5,55549,<entities.dtn.DTN object at 0x0000015CCBE64940>,<entities.processor.Processor object at 0x0000015CCBE8C100>
5.047625000000006,36.0,55549,<entities.dtn.DTN object at 0x0000015CCBE64940>,<entities.processor.Processor object at 0x0000015CCBE8C100>
6.047625000000006,99.5,55549,<entities.dtn.DTN object at 0x0000015CCBE64940>,<entities.processor.Processor object at 0x0000015CCBE8C100>
4.5,0.0,95848,<entities.processor.Processor object at 0x0000015CCBE8C8E0>,<entities.dtn.DTN object at 0x0000015CCBE64940>
4.536540000000121,153.0,16845,<entities.dtn.DTN object at 0x0000015CCBE64940>,<entities.processor.Processor object at 0x0000015CCBE8C8E0>
5.536540000000121,145.5,16845,<entities.dtn.DTN object at 0x0000015CCBE64940>,<entities.processor.Processor object at 0x0000015CCBE8C8E0>
6.536540000000121,0.0,16845,<entities.dtn.DTN object at 0x0000015CCBE64940>,<entities.processor.Processor object at 0x0000015CCBE8C8E0>
7.536540000000121,2.5,16845,<entities.dtn.DTN object at 0x0000015CCBE64940>,<entities.processor.Processor object at 0x0000015CCBE8C8E0>
5.0,0.0,66640,<entities.processor.Processor object at 0x0000015CCBE8CB80>,<entities.dtn.DTN object at 0x0000015CCBE64940>
5.03917000000013,1.5,56326,<entities.dtn.DTN object at 0x0000015CCBE64940>,<entities.processor.Processor object at 0x0000015CCBE8CB80>
6.03917000000013,1.5,56326,<entities.dtn.DTN object at 0x0000015CCBE64940>,<entities.processor.Processor object at 0x0000015CCBE8CB80>
