time_bin,throughput,time_bin_mid
"[1, 2)",0.0,1.5
"[2, 3)",63.0,2.5
"[5, 6)",85.0,5.5
"[7, 8)",54.0,7.5
"[9, 10)",173.0,9.5
"[11, 12)",38.0,11.5
"[14, 15)",170.5,14.5
"[16, 17)",166.25,16.5
"[18, 19)",25.0,18.5
"[21, 22)",0.0,21.5
"[23, 24)",0.0,23.5
"[24, 25)",203.0,24.5
"[25, 26)",80.33333333333333,25.5
"[26, 27)",0.0,26.5
"[27, 28)",97.71428571428571,27.5
"[28, 29)",0.0,28.5
"[29, 30)",48.666666666666664,29.5
"[30, 31)",80.0,30.5
"[31, 32)",107.64285714285714,31.5
"[32, 33)",91.125,32.5
"[37, 38)",51.5,37.5
"[39, 40)",100.0,39.5
"[43, 44)",90.0,43.5
"[44, 45)",86.0,44.5
"[45, 46)",39.0,45.5
"[46, 47)",55.5,46.5
"[47, 48)",144.0,47.5
"[48, 49)",145.5,48.5
"[51, 52)",66.0,51.5
"[53, 54)",126.5,53.5
"[57, 58)",73.0,57.5
"[58, 59)",75.0,58.5
"[59, 60)",69.66666666666667,59.5
"[63, 64)",0.0,63.5
"[65, 66)",141.0,65.5
"[66, 67)",25.0,66.5
"[68, 69)",169.0,68.5
"[69, 70)",148.0,69.5
"[75, 76)",86.0,75.5
"[76, 77)",0.0,76.5
"[78, 79)",82.5,78.5
"[79, 80)",137.0,79.5
"[82, 83)",0.0,82.5
"[84, 85)",174.0,84.5
"[85, 86)",112.0,85.5
"[86, 87)",139.25,86.5
"[87, 88)",0.0,87.5
"[89, 90)",91.0,89.5
"[90, 91)",114.0,90.5
"[92, 93)",0.0,92.5
"[95, 96)",0.0,95.5
"[96, 97)",231.5,96.5
"[97, 98)",154.5,97.5
"[98, 99)",173.0,98.5
"[99, 100)",108.66666666666667,99.5
"[100, 101)",140.0,100.5
"[101, 102)",39.0,101.5
"[107, 108)",95.75,107.5
"[109, 110)",153.5,109.5
"[111, 112)",124.0,111.5
"[113, 114)",141.5,113.5
"[116, 117)",76.75,116.5
"[119, 120)",115.5,119.5
"[120, 121)",109.5,120.5
"[123, 124)",32.0,123.5
"[124, 125)",58.5,124.5
"[127, 128)",0.0,127.5
"[129, 130)",0.0,129.5
"[130, 131)",177.0,130.5
"[131, 132)",84.0,131.5
"[134, 135)",147.0,134.5
"[135, 136)",74.5,135.5
"[136, 137)",144.5,136.5
"[137, 138)",0.0,137.5
"[138, 139)",65.0,138.5
"[143, 144)",66.5,143.5
"[146, 147)",123.0,146.5
"[148, 149)",0.0,148.5
"[149, 150)",48.5,149.5
"[150, 151)",47.0,150.5
"[151, 152)",156.5,151.5
"[152, 153)",153.66666666666666,152.5
"[153, 154)",0.0,153.5
"[154, 155)",43.5,154.5
"[156, 157)",298.0,156.5
"[158, 159)",114.0,158.5
"[164, 165)",51.5,164.5
"[165, 166)",165.0,165.5
"[167, 168)",57.333333333333336,167.5
"[169, 170)",79.66666666666667,169.5
"[170, 171)",121.0,170.5
"[171, 172)",283.0,171.5
"[172, 173)",263.4166666666667,172.5
"[173, 174)",58.625,173.5
"[178, 179)",73.5,178.5
"[179, 180)",118.5,179.5
"[181, 182)",41.5,181.5
"[183, 184)",74.33333333333333,183.5
"[184, 185)",0.0,184.5
"[186, 187)",133.5,186.5
"[187, 188)",94.0,187.5
"[188, 189)",196.0,188.5
"[189, 190)",116.66666666666667,189.5
"[192, 193)",0.0,192.5
"[193, 194)",0.0,193.5
"[194, 195)",68.0,194.5
"[195, 196)",0.0,195.5
"[196, 197)",162.75,196.5
"[198, 199)",43.333333333333336,198.5
