time_bin_mid,Queue_1_avg_load,Queue_2_avg_load,Queue_3_avg_load,Queue_4_avg_load,Queue_5_avg_load,Queue_6_avg_load
0.5,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0,0.0,0.0
6.5,8.807799442896936,36.043356643356645,0.0,0.0,0.0,0.0
7.5,0.0,0.15384615384615385,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0,0.0,0.0
10.5,0.0,0.0,0.0,0.0,0.0,0.0
11.5,0.0,0.0,0.0,0.0,0.0,0.0
12.5,0.0,0.0,0.0,0.0,0.0,0.0
13.5,0.0,0.0,0.0,0.0,0.0,0.0
14.5,0.0,0.0,0.0,0.0,0.0,0.0
15.5,0.0,0.0,0.0,0.0,0.0,0.0
16.5,0.0,0.0,0.0,0.0,0.0,0.0
17.5,0.0,0.0,0.0,0.0,0.0,0.0
18.5,0.0,0.0,0.0,0.0,0.0,0.0
19.5,2.3278688524590163,0.0,3.72972972972973,0.0,0.0,0.0
20.5,33.99654377880184,0.0,27.246478873239436,0.0,0.0,0.0
21.5,0.0,0.0,0.15384615384615385,0.0,0.0,0.0
22.5,0.0,0.0,0.0,0.0,0.0,0.0
23.5,0.0,0.0,0.0,0.0,0.0,0.0
24.5,0.0,0.0,0.0,0.0,0.0,0.0
25.5,0.0,0.0,0.0,0.0,0.0,0.0
26.5,0.0,0.0,0.0,0.0,0.0,0.0
27.5,0.0,0.0,0.0,0.0,0.0,0.0
28.5,0.0,0.0,0.0,0.0,0.0,0.0
29.5,0.0,0.0,0.0,0.0,0.0,0.0
30.5,0.0,0.0,0.0,0.0,0.0,0.0
31.5,0.0,0.0,0.0,0.0,0.0,0.0
32.5,0.0,0.0,0.0,0.0,0.0,0.0
33.5,0.0,0.0,0.0,0.0,0.0,0.0
34.5,0.0,0.0,0.0,0.0,0.0,0.0
35.5,0.0,0.0,0.0,0.0,0.0,0.0
36.5,11.751807228915663,0.0,0.0,43.70285087719298,0.0,0.0
37.5,8.62037037037037,0.0,0.0,61.28191489361702,0.0,0.0
38.5,0.0,0.0,0.0,0.0,0.0,0.0
39.5,0.0,0.0,0.0,0.0,0.0,0.0
40.5,3.6103896103896105,5.018867924528302,0.0,0.0,0.0,0.0
41.5,33.120603015075375,31.989615784008308,0.0,0.0,0.0,0.0
42.5,0.0,0.15384615384615385,0.0,0.0,0.0,0.0
43.5,0.0,0.0,0.0,0.0,0.0,0.0
44.5,0.0,0.0,0.0,0.0,0.0,0.0
45.5,0.0,0.0,0.0,0.0,0.0,0.0
46.5,26.572972972972973,0.0,25.286833855799372,0.0,0.0,0.0
47.5,17.505555555555556,0.0,18.57894736842105,0.0,0.0,0.0
48.5,0.0,0.0,0.08333333333333333,0.0,0.0,0.0
49.5,0.0,0.0,0.0,0.0,0.0,0.0
50.5,0.0,0.0,0.0,0.0,0.0,0.0
51.5,0.0,0.0,0.0,0.0,0.0,0.0
52.5,0.0,0.0,0.0,0.0,0.0,0.0
53.5,0.0,0.0,0.0,0.0,0.0,0.0
54.5,0.0,0.0,0.0,0.0,0.0,0.0
55.5,0.0,0.0,0.0,0.0,0.0,0.0
56.5,0.0,0.0,0.0,0.0,0.0,0.0
57.5,0.0,0.0,0.0,0.0,0.0,0.0
58.5,0.0,0.0,0.0,0.0,0.0,0.0
59.5,0.0,0.0,0.0,0.0,0.0,0.0
60.5,0.0,0.0,0.0,0.0,0.0,0.0
61.5,0.0,0.0,0.0,0.0,0.0,0.0
62.5,0.15384615384615385,0.0,0.25,0.0,0.0,0.0
63.5,64.25033112582781,27.259090909090908,19.14181818181818,0.0,0.0,0.0
64.5,19.35479632063075,0.0,52.07880910683012,0.0,0.0,0.0
65.5,0.0,0.0,0.15384615384615385,0.0,0.0,0.0
66.5,0.0,0.0,0.0,0.0,0.0,0.0
67.5,1.7727272727272727,2.413793103448276,0.0,0.0,0.0,0.0
68.5,45.7357310398749,17.206814580031697,0.0,0.0,0.0,0.0
69.5,0.0,0.0,0.0,0.0,0.0,0.0
70.5,0.0,0.0,0.0,0.0,0.0,0.0
71.5,0.0,0.0,0.0,0.0,0.0,0.0
72.5,0.0,0.0,0.0,0.0,0.0,0.0
73.5,0.0,0.0,0.0,0.0,0.0,0.0
74.5,0.0,0.0,0.0,0.0,0.0,0.0
75.5,0.15384615384615385,0.0,0.25,0.0,0.0,0.0
76.5,12.546810273405137,0.0,49.79892966360856,0.0,0.0,0.0
77.5,30.793193717277486,0.0,34.340501792114694,0.0,0.0,0.0
78.5,28.137062937062936,0.0,0.0,27.026894865525673,0.0,0.0
79.5,25.981681034482758,0.0,0.0,45.13868613138686,0.0,0.0
80.5,0.0,0.0,0.0,0.15384615384615385,0.0,0.0
81.5,3.6103896103896105,0.0,5.018867924528302,0.0,0.0,0.0
82.5,29.493489583333332,0.0,30.42798913043478,0.0,0.0,0.0
83.5,0.0,0.0,0.15384615384615385,0.0,0.0,0.0
84.5,0.0,0.0,0.0,0.0,0.0,0.0
85.5,0.0,0.0,0.0,0.0,0.0,0.0
86.5,0.0,0.0,0.0,0.0,0.0,0.0
87.5,0.0,0.0,0.0,0.0,0.0,0.0
88.5,0.0,0.0,0.0,0.0,0.0,0.0
89.5,0.0,0.0,0.0,0.0,0.0,0.0
90.5,0.0,0.0,0.0,0.0,0.0,0.0
91.5,32.01866666666667,0.0,0.0,24.20256111757858,0.0,0.0
92.5,29.22632226322263,0.0,5.018867924528302,38.14330708661417,0.0,0.0
93.5,38.32658393207054,0.0,28.321762349799734,0.15384615384615385,0.0,0.0
94.5,2.3278688524590163,3.72972972972973,0.15384615384615385,0.0,0.0,0.0
95.5,38.880914826498426,24.367118914604948,0.0,0.0,0.0,0.0
96.5,2.3278688524590163,0.15384615384615385,0.0,3.72972972972973,0.0,0.0
97.5,18.047430830039527,0.0,0.0,44.088516746411486,0.0,0.0
98.5,9.978985507246376,0.0,0.0,50.99781818181818,0.0,0.0
99.5,0.0,0.0,0.0,0.15384615384615385,0.0,0.0
100.5,0.0,0.0,0.0,0.0,0.0,0.0
101.5,0.0,0.0,0.0,0.0,0.0,0.0
102.5,2.3666666666666667,0.0,3.72972972972973,0.0,0.0,0.0
103.5,14.730857142857143,0.0,56.483852364475204,0.0,0.0,0.0
104.5,0.0,0.0,0.15384615384615385,0.0,0.0,0.0
105.5,0.0,0.0,0.0,0.0,0.0,0.0
106.5,0.0,0.0,0.0,0.0,0.0,0.0
107.5,0.0,0.0,0.0,0.0,0.0,0.0
108.5,0.0,0.0,0.0,0.0,0.0,0.0
109.5,0.0,0.0,0.0,0.0,0.0,0.0
110.5,0.0,0.0,0.0,0.0,0.0,0.0
111.5,0.0,0.0,0.0,0.0,0.0,0.0
112.5,0.0,0.0,0.0,0.0,0.0,0.0
113.5,0.0,0.0,0.0,0.0,0.0,0.0
114.5,0.0,0.0,0.0,0.0,0.0,0.0
115.5,2.3278688524590163,0.0,0.0,3.780821917808219,0.0,0.0
116.5,43.8722073279714,0.0,0.0,19.090661831368994,0.0,0.0
117.5,0.0,0.0,0.0,0.0,0.0,0.0
118.5,0.0,0.0,0.0,0.0,0.0,0.0
119.5,0.0,0.0,0.0,0.0,0.0,0.0
120.5,0.0,0.0,0.0,0.0,0.0,0.0
121.5,0.0,0.0,0.0,0.0,0.0,0.0
122.5,0.15384615384615385,0.0,0.25,0.0,0.0,0.0
123.5,21.70824053452116,0.0,31.446428571428573,0.0,0.0,0.0
124.5,0.0,0.0,0.15384615384615385,0.0,0.0,0.0
125.5,0.0,0.0,0.0,0.0,0.0,0.0
126.5,0.0,0.0,0.0,0.0,0.0,0.0
127.5,0.0,0.0,0.0,0.0,0.0,0.0
128.5,0.0,0.0,0.0,0.0,0.0,0.0
129.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
130.5,35.9794933655006,0.0,22.13015873015873,0.0,0.0,0.0
131.5,34.30404624277457,0.0,38.14419225634179,0.0,0.0,0.0
132.5,0.0,0.0,0.15384615384615385,0.0,0.0,0.0
133.5,36.65422885572139,20.96082698585419,0.0,0.0,0.0,0.0
134.5,36.08960573476703,35.63509749303621,0.0,0.0,0.0,0.0
135.5,0.0,0.0,0.0,0.0,0.0,0.0
136.5,0.0,0.0,0.0,0.0,0.0,0.0
137.5,0.0,0.0,0.0,0.0,0.0,0.0
138.5,0.0,0.0,0.0,0.0,0.0,0.0
139.5,0.0,0.0,0.0,0.0,0.0,0.0
140.5,0.0,0.0,0.0,0.0,0.0,0.0
141.5,0.0,0.0,0.0,0.0,0.0,0.0
