time_bin,goodput,time_bin_mid
"[1, 2)",39.0,1.5
"[2, 3)",9.0,2.5
"[3, 4)",10.5,3.5
"[9, 10)",42.75,9.5
"[10, 11)",21.0,10.5
"[11, 12)",33.75,11.5
"[12, 13)",68.375,12.5
"[13, 14)",49.5,13.5
"[14, 15)",38.25,14.5
"[15, 16)",0.0,15.5
"[16, 17)",21.375,16.5
"[17, 18)",26.0,17.5
"[18, 19)",40.25,18.5
"[19, 20)",0.0,19.5
"[21, 22)",42.75,21.5
"[22, 23)",15.9,22.5
"[23, 24)",0.0,23.5
"[24, 25)",0.0,24.5
"[25, 26)",95.25,25.5
"[26, 27)",46.125,26.5
"[27, 28)",3.75,27.5
"[28, 29)",43.166666666666664,28.5
"[29, 30)",16.5,29.5
"[30, 31)",0.0,30.5
"[31, 32)",0.0,31.5
"[32, 33)",0.0,32.5
"[33, 34)",24.214285714285715,33.5
"[34, 35)",7.25,34.5
"[35, 36)",25.5,35.5
"[36, 37)",28.583333333333332,36.5
"[37, 38)",36.375,37.5
"[38, 39)",13.666666666666666,38.5
"[39, 40)",42.0,39.5
"[40, 41)",42.75,40.5
"[41, 42)",57.5,41.5
"[42, 43)",0.0,42.5
"[43, 44)",0.0,43.5
"[44, 45)",0.0,44.5
"[45, 46)",0.0,45.5
"[46, 47)",0.0,46.5
"[47, 48)",21.0,47.5
"[48, 49)",7.125,48.5
"[49, 50)",0.0,49.5
"[50, 51)",0.0,50.5
"[51, 52)",0.0,51.5
"[52, 53)",9.875,52.5
"[53, 54)",6.818181818181818,53.5
"[54, 55)",8.9,54.5
"[55, 56)",10.875,55.5
"[56, 57)",10.681818181818182,56.5
"[57, 58)",14.25,57.5
"[58, 59)",9.76923076923077,58.5
"[59, 60)",16.923076923076923,59.5
"[60, 61)",0.85,60.5
"[61, 62)",0.0,61.5
"[62, 63)",0.0,62.5
"[63, 64)",1.0,63.5
"[64, 65)",14.166666666666666,64.5
"[65, 66)",16.61111111111111,65.5
"[66, 67)",30.45,66.5
"[67, 68)",22.944444444444443,67.5
"[68, 69)",16.954545454545453,68.5
"[69, 70)",8.571428571428571,69.5
"[70, 71)",21.61111111111111,70.5
"[71, 72)",35.214285714285715,71.5
"[72, 73)",10.214285714285714,72.5
"[73, 74)",21.5,73.5
"[74, 75)",48.4375,74.5
"[75, 76)",21.75,75.5
"[76, 77)",37.5,76.5
"[77, 78)",21.714285714285715,77.5
"[78, 79)",14.25,78.5
"[79, 80)",18.666666666666668,79.5
"[80, 81)",48.5,80.5
"[81, 82)",4.5,81.5
"[82, 83)",46.875,82.5
"[83, 84)",103.0,83.5
"[84, 85)",42.0,84.5
"[85, 86)",168.0,85.5
"[86, 87)",42.0,86.5
"[87, 88)",31.333333333333332,87.5
"[88, 89)",23.25,88.5
"[89, 90)",5.25,89.5
"[90, 91)",45.75,90.5
"[91, 92)",12.75,91.5
"[92, 93)",42.75,92.5
"[93, 94)",28.5,93.5
"[94, 95)",0.0,94.5
"[96, 97)",42.75,96.5
"[97, 98)",62.5,97.5
"[98, 99)",0.0,98.5
"[99, 100)",0.0,99.5
"[100, 101)",32.5,100.5
"[101, 102)",21.375,101.5
"[102, 103)",14.25,102.5
"[103, 104)",65.25,103.5
"[104, 105)",23.0,104.5
"[105, 106)",0.0,105.5
"[106, 107)",19.5,106.5
"[107, 108)",57.75,107.5
"[108, 109)",31.5,108.5
"[109, 110)",0.0,109.5
"[110, 111)",56.0,110.5
"[111, 112)",57.25,111.5
"[112, 113)",18.375,112.5
"[113, 114)",24.333333333333332,113.5
"[114, 115)",71.75,114.5
"[115, 116)",14.25,115.5
"[116, 117)",0.75,116.5
"[117, 118)",34.5,117.5
"[118, 119)",75.5,118.5
"[119, 120)",0.0,119.5
"[120, 121)",24.3,120.5
"[121, 122)",4.5,121.5
"[122, 123)",43.5,122.5
"[123, 124)",23.1,123.5
"[124, 125)",55.5,124.5
"[125, 126)",89.25,125.5
"[126, 127)",29.3,126.5
"[127, 128)",0.0,127.5
"[128, 129)",79.5,128.5
"[129, 130)",5.25,129.5
"[131, 132)",25.0,131.5
"[132, 133)",15.0,132.5
"[133, 134)",15.0,133.5
"[134, 135)",0.625,134.5
"[135, 136)",0.0,135.5
"[136, 137)",16.65,136.5
"[137, 138)",17.625,137.5
"[138, 139)",35.0,138.5
"[139, 140)",35.7,139.5
"[140, 141)",39.3,140.5
"[141, 142)",28.2,141.5
"[142, 143)",21.166666666666668,142.5
"[143, 144)",21.375,143.5
"[144, 145)",16.2,144.5
"[145, 146)",39.0,145.5
"[146, 147)",105.75,146.5
"[147, 148)",82.83333333333333,147.5
"[148, 149)",32.166666666666664,148.5
"[149, 150)",88.5,149.5
"[150, 151)",25.5,150.5
"[151, 152)",29.75,151.5
"[152, 153)",56.875,152.5
"[153, 154)",31.2,153.5
"[154, 155)",0.0,154.5
"[155, 156)",0.0,155.5
"[157, 158)",39.75,157.5
"[158, 159)",39.625,158.5
"[159, 160)",39.0,159.5
"[160, 161)",4.5,160.5
"[163, 164)",0.0,163.5
"[165, 166)",79.5,165.5
"[166, 167)",3.0,166.5
"[167, 168)",19.333333333333332,167.5
"[169, 170)",0.0,169.5
"[170, 171)",81.0,170.5
"[171, 172)",29.625,171.5
"[172, 173)",29.0,172.5
"[173, 174)",9.0,173.5
"[174, 175)",26.0,174.5
"[175, 176)",58.5,175.5
"[179, 180)",35.75,179.5
"[180, 181)",12.5,180.5
"[181, 182)",45.75,181.5
"[182, 183)",37.75,182.5
"[183, 184)",28.666666666666668,183.5
"[184, 185)",16.875,184.5
"[185, 186)",8.0,185.5
"[186, 187)",15.0,186.5
