time_bin_mid,avg_load
0.5,0.0
1.5,0.0
2.5,0.0
3.5,0.0
4.5,0.0
5.5,0.0
6.5,47.3578431372549
7.5,0.15384615384615385
8.5,0.0
9.5,0.0
10.5,0.0
11.5,0.0
12.5,0.0
13.5,0.0
14.5,0.0
15.5,0.0
16.5,0.0
17.5,0.0
18.5,0.0
19.5,51.456581103222284
20.5,0.15384615384615385
21.5,0.0
22.5,0.0
23.5,0.0
24.5,0.0
25.5,0.0
26.5,0.0
27.5,0.0
28.5,0.0
29.5,0.0
30.5,0.0
31.5,0.0
32.5,0.0
33.5,0.0
34.5,0.0
35.5,0.0
36.5,57.66462167689161
37.5,0.0
38.5,0.0
39.5,0.0
40.5,53.52785646836638
41.5,0.15384615384615385
42.5,0.0
43.5,0.0
44.5,0.0
45.5,0.0
46.5,47.569049271339345
47.5,0.15384615384615385
48.5,0.0
49.5,0.0
50.5,0.0
51.5,0.0
52.5,0.0
53.5,0.0
54.5,58.045716342692586
55.5,0.15384615384615385
56.5,0.0
57.5,0.0
58.5,0.0
59.5,0.0
60.5,0.0
61.5,60.78513071895425
62.5,0.21428571428571427
63.5,50.678043230944255
64.5,0.0
65.5,0.0
66.5,0.0
67.5,56.2536231884058
68.5,0.0
69.5,0.0
70.5,0.0
71.5,0.0
72.5,0.0
73.5,0.0
74.5,0.0
75.5,21.564556962025318
76.5,64.23406553835073
77.5,0.0
78.5,59.39368872549019
79.5,0.15384615384615385
80.5,0.0
81.5,50.27360192423331
82.5,0.15384615384615385
83.5,0.0
84.5,0.0
85.5,0.0
86.5,0.0
87.5,0.0
88.5,0.0
89.5,0.0
90.5,57.71313131313131
91.5,0.15384615384615385
92.5,59.48339598997494
93.5,0.15384615384615385
94.5,56.34434320425209
95.5,0.15384615384615385
96.5,55.95378640776699
97.5,58.0327285663465
98.5,0.15384615384615385
99.5,0.0
100.5,0.0
101.5,0.0
102.5,60.58583333333333
103.5,0.15384615384615385
104.5,0.0
105.5,0.0
106.5,0.0
107.5,0.0
108.5,0.0
109.5,0.0
110.5,0.0
111.5,0.0
112.5,0.0
113.5,0.0
114.5,0.0
115.5,55.66923736075407
116.5,0.0
117.5,0.0
118.5,0.0
119.5,0.0
120.5,0.0
121.5,0.0
122.5,0.0
123.5,51.001114206128136
124.5,0.15384615384615385
125.5,0.0
126.5,0.0
127.5,0.0
128.5,0.0
129.5,0.0
130.5,59.19424673784104
131.5,0.15384615384615385
132.5,59.42265193370166
133.5,0.0
134.5,0.0
135.5,0.0
136.5,0.0
137.5,0.0
138.5,0.0
139.5,0.0
140.5,0.0
141.5,0.0
142.5,0.0
143.5,56.1981266544492
144.5,59.42265193370166
145.5,0.0
146.5,54.03373722974578
147.5,0.15384615384615385
148.5,0.0
149.5,0.0
150.5,0.0
151.5,0.0
152.5,0.0
153.5,0.0
154.5,0.0
155.5,0.0
156.5,0.0
157.5,0.0
158.5,0.0
159.5,0.0
160.5,0.0
161.5,0.0
162.5,57.74355806565478
163.5,0.09090909090909091
164.5,105.19327731092437
165.5,0.15384615384615385
166.5,0.0
167.5,55.66923736075407
168.5,58.5080673447913
169.5,0.15384615384615385
170.5,0.0
171.5,0.09090909090909091
172.5,50.30227001194743
173.5,0.15384615384615385
174.5,53.91742195367573
175.5,0.21428571428571427
176.5,53.54331450094162
177.5,0.15384615384615385
178.5,0.0
179.5,0.0
180.5,55.87382779198636
181.5,0.15384615384615385
182.5,0.0
183.5,55.85108055009823
184.5,0.15384615384615385
185.5,0.0
186.5,0.0
187.5,0.0
188.5,0.0
189.5,54.474666666666664
190.5,53.49188156638014
191.5,0.0
192.5,0.09090909090909091
193.5,53.163032191069576
194.5,0.15384615384615385
195.5,0.0
196.5,0.0
197.5,50.37071078431372
198.5,0.15384615384615385
199.5,57.76560934891486
