times,loads
0.0,0
0.1,0
0.2,0
0.30000000000000004,0
0.4,0
0.5,0
0.6,0
0.7,0
0.7999999999999999,0
0.8999999999999999,0
0.9999999999999999,0
1.0999999999999999,0
1.2,0
1.3,0
1.4000000000000001,0
1.5000000000000002,0
1.6000000000000003,0
1.7000000000000004,0
1.8000000000000005,0
1.9000000000000006,0
2.0000000000000004,0
2.1000000000000005,0
2.2000000000000006,0
2.3000000000000007,0
2.400000000000001,0
2.500000000000001,0
2.600000000000001,0
2.700000000000001,0
2.800000000000001,0
2.9000000000000012,0
3.0000000000000013,0
3.1000000000000014,0
3.2000000000000015,0
3.3000000000000016,0
3.4000000000000017,0
3.5000000000000018,0
3.600000000000002,0
3.700000000000002,0
3.800000000000002,0
3.900000000000002,0
4.000000000000002,0
4.100000000000001,0
4.200000000000001,0
4.300000000000001,0
4.4,0
4.5,0
4.6,0
4.699999999999999,0
4.799999999999999,0
4.899999999999999,0
4.999999999999998,0
5.099999999999998,0
5.1999999999999975,0
5.299999999999997,0
5.399999999999997,0
5.4999999999999964,0
5.599999999999996,0
5.699999999999996,0
5.799999999999995,0
5.899999999999995,0
5.999999999999995,0
6.0,1
6.099999999999994,1
6.099999999999994,0
6.114109999999994,1
6.114109999999994,2
6.114109999999994,2
6.114109999999994,1
6.114184999999994,2
6.114184999999994,2
6.114184999999994,1
6.114184999999994,2
6.114184999999994,2
6.114184999999994,1
6.1142149999999935,2
6.114244999999993,3
6.114244999999993,3
6.114244999999993,2
6.114244999999993,2
6.114244999999993,1
6.114319999999993,2
6.114319999999993,2
6.114319999999993,1
6.114394999999993,2
6.114394999999993,2
6.114394999999993,1
6.114424999999993,2
6.114454999999992,3
6.114454999999992,3
6.114454999999992,2
6.114484999999992,3
6.114514999999992,4
6.114514999999992,4
6.114514999999992,3
6.114589999999992,4
6.114589999999992,4
6.114589999999992,3
6.114664999999992,4
6.114664999999992,4
6.114664999999992,3
6.114739999999991,4
6.114739999999991,4
6.114739999999991,3
6.114814999999991,4
6.114814999999991,4
6.114814999999991,3
6.114844999999991,4
6.114874999999991,5
6.114874999999991,5
6.114874999999991,4
6.1149049999999905,5
6.11493499999999,6
6.11493499999999,6
6.11493499999999,5
6.11496499999999,6
6.11499499999999,7
6.11499499999999,7
6.11499499999999,6
6.1150249999999895,7
6.115054999999989,8
6.115054999999989,8
6.115054999999989,7
6.115129999999989,8
6.115129999999989,8
6.115129999999989,7
6.115204999999989,8
6.115204999999989,8
6.115204999999989,7
6.115279999999989,8
6.115279999999989,8
6.115279999999989,7
6.1153549999999886,8
6.1153549999999886,8
6.1153549999999886,7
6.115429999999988,8
6.115429999999988,8
6.115429999999988,7
6.115504999999988,8
6.115504999999988,8
6.115504999999988,7
6.115579999999988,8
6.115579999999988,8
6.115579999999988,7
6.115654999999988,8
6.115654999999988,8
6.115654999999988,7
6.115684999999988,8
6.115714999999987,9
6.115714999999987,9
6.115714999999987,8
6.115744999999987,9
6.115774999999987,10
6.115774999999987,10
6.115774999999987,9
6.115804999999987,10
6.115834999999986,11
6.115834999999986,11
6.115834999999986,10
6.115864999999986,11
6.115894999999986,12
6.115894999999986,12
6.115894999999986,11
6.115924999999986,12
6.115954999999985,13
6.115954999999985,13
6.115954999999985,12
6.115984999999985,13
6.116014999999985,14
6.116014999999985,14
6.116014999999985,13
6.116044999999985,14
6.116074999999984,15
6.116074999999984,15
6.116074999999984,14
6.116104999999984,15
6.116134999999984,16
6.116134999999984,16
6.116134999999984,15
6.116209999999984,16
6.116209999999984,16
6.116209999999984,15
6.1162849999999835,16
6.1162849999999835,16
6.1162849999999835,15
6.116359999999983,16
6.116359999999983,16
6.116359999999983,15
6.116434999999983,16
6.116434999999983,16
6.116434999999983,15
6.116509999999983,16
6.116509999999983,16
6.116509999999983,15
6.116584999999983,16
6.116584999999983,16
6.116584999999983,15
6.116659999999983,16
6.116659999999983,16
6.116659999999983,15
6.1167349999999825,16
6.1167349999999825,16
6.1167349999999825,15
6.116809999999982,16
6.116809999999982,16
6.116809999999982,15
6.116884999999982,16
6.116884999999982,16
6.116884999999982,15
6.116959999999982,16
6.116959999999982,16
6.116959999999982,15
6.117034999999982,16
6.117034999999982,16
6.117034999999982,15
6.117109999999982,16
6.117109999999982,16
6.117109999999982,15
6.117184999999981,16
6.117184999999981,16
6.117184999999981,15
6.117259999999981,16
6.117259999999981,16
6.117259999999981,15
6.117334999999981,16
6.117334999999981,16
6.117334999999981,15
6.117364999999981,16
6.117394999999981,17
6.117394999999981,17
6.117394999999981,16
6.11742499999998,17
6.11745499999998,18
6.11745499999998,18
6.11745499999998,17
6.11748499999998,18
6.11751499999998,19
6.11751499999998,19
6.11751499999998,18
6.117544999999979,19
6.117574999999979,20
6.117574999999979,20
6.117574999999979,19
6.117604999999979,20
6.117634999999979,21
6.117634999999979,21
6.117634999999979,20
6.117664999999978,21
6.117694999999978,22
6.117694999999978,22
6.117694999999978,21
6.117724999999978,22
6.117754999999978,23
6.117754999999978,23
6.117754999999978,22
6.117784999999977,23
6.117814999999977,24
6.117814999999977,24
6.117814999999977,23
6.117844999999977,24
6.117874999999977,25
6.117874999999977,25
6.117874999999977,24
6.117904999999976,25
6.117934999999976,26
6.117934999999976,26
6.117934999999976,25
6.117964999999976,26
6.117994999999976,27
6.117994999999976,27
6.117994999999976,26
6.118024999999975,27
6.118054999999975,28
6.118054999999975,28
6.118054999999975,27
6.118084999999975,28
6.118114999999975,29
6.118114999999975,29
6.118114999999975,28
6.118144999999974,29
6.118174999999974,30
6.118174999999974,30
6.118174999999974,29
6.118204999999974,30
6.118234999999974,31
6.118234999999974,31
6.118234999999974,30
6.118264999999973,31
6.118294999999973,32
6.118294999999973,32
6.118294999999973,31
6.118369999999973,32
6.118369999999973,32
6.118369999999973,31
6.118444999999973,32
6.118444999999973,32
6.118444999999973,31
6.118519999999973,32
6.118519999999973,32
6.118519999999973,31
6.1185949999999725,32
6.1185949999999725,32
6.1185949999999725,31
6.118669999999972,32
6.118669999999972,32
6.118669999999972,31
6.118744999999972,32
6.118744999999972,32
6.118744999999972,31
6.118819999999972,32
6.118819999999972,32
6.118819999999972,31
6.118894999999972,32
6.118894999999972,32
6.118894999999972,31
6.118969999999972,32
6.118969999999972,32
6.118969999999972,31
6.119044999999971,32
6.119044999999971,32
6.119044999999971,31
6.119119999999971,32
6.119119999999971,32
6.119119999999971,31
6.119194999999971,32
6.119194999999971,32
6.119194999999971,31
6.119269999999971,32
6.119269999999971,32
6.119269999999971,31
6.119344999999971,32
6.119344999999971,32
6.119344999999971,31
6.1194199999999705,32
6.1194199999999705,32
6.1194199999999705,31
6.11949499999997,32
6.11949499999997,32
6.11949499999997,31
6.11956999999997,32
6.11956999999997,32
6.11956999999997,31
6.11964499999997,32
6.11964499999997,32
6.11964499999997,31
6.11971999999997,32
6.11971999999997,32
6.11971999999997,31
6.11979499999997,32
6.11979499999997,32
6.11979499999997,31
6.1198699999999695,32
6.1198699999999695,32
6.1198699999999695,31
6.119944999999969,32
6.119944999999969,32
6.119944999999969,31
6.120019999999969,32
6.120019999999969,32
6.120019999999969,31
6.120094999999969,32
6.120094999999969,32
6.120094999999969,31
6.120169999999969,32
6.120169999999969,32
6.120169999999969,31
6.120244999999969,32
6.120244999999969,32
6.120244999999969,31
6.1203199999999685,32
6.1203199999999685,32
6.1203199999999685,31
6.120394999999968,32
6.120394999999968,32
6.120394999999968,31
