time_bin,throughput,time_bin_mid
"[1, 2)",48.0,1.5
"[2, 3)",54.0,2.5
"[3, 4)",10.5,3.5
"[6, 7)",0.0,6.5
"[7, 8)",157.0,7.5
"[8, 9)",152.75,8.5
"[9, 10)",99.0,9.5
"[10, 11)",84.9,10.5
"[11, 12)",35.86363636363637,11.5
"[12, 13)",31.1,12.5
"[13, 14)",37.68181818181818,13.5
"[14, 15)",24.25,14.5
"[15, 16)",48.25,15.5
"[16, 17)",22.5,16.5
"[17, 18)",39.857142857142854,17.5
"[18, 19)",42.0,18.5
"[19, 20)",30.75,19.5
"[20, 21)",30.375,20.5
"[21, 22)",33.25,21.5
"[22, 23)",24.125,22.5
"[23, 24)",3.5714285714285716,23.5
"[24, 25)",0.0,24.5
"[25, 26)",2.7,25.5
"[26, 27)",23.8125,26.5
"[27, 28)",32.5,27.5
"[28, 29)",15.3125,28.5
"[29, 30)",14.166666666666666,29.5
"[30, 31)",4.7,30.5
"[31, 32)",19.125,31.5
"[32, 33)",41.1,32.5
"[33, 34)",12.0,33.5
"[34, 35)",44.0,34.5
"[35, 36)",56.1875,35.5
"[36, 37)",85.83333333333333,36.5
"[37, 38)",20.5,37.5
"[38, 39)",36.75,38.5
"[39, 40)",61.9,39.5
"[40, 41)",46.166666666666664,40.5
"[46, 47)",75.0,46.5
"[47, 48)",63.5,47.5
"[48, 49)",52.5,48.5
"[49, 50)",5.5,49.5
"[50, 51)",144.0,50.5
"[51, 52)",16.875,51.5
"[52, 53)",27.0,52.5
"[53, 54)",93.0,53.5
"[54, 55)",91.0,54.5
"[55, 56)",101.5,55.5
"[56, 57)",6.5,56.5
"[60, 61)",0.0,60.5
"[62, 63)",77.9,62.5
"[63, 64)",60.833333333333336,63.5
"[64, 65)",45.0,64.5
"[65, 66)",59.166666666666664,65.5
"[66, 67)",204.5,66.5
"[67, 68)",75.75,67.5
"[68, 69)",73.5,68.5
"[69, 70)",30.0,69.5
"[70, 71)",81.5,70.5
"[71, 72)",57.0,71.5
"[72, 73)",42.0,72.5
"[73, 74)",0.0,73.5
"[74, 75)",62.0,74.5
"[75, 76)",75.75,75.5
"[76, 77)",39.0,76.5
"[77, 78)",51.5,77.5
"[78, 79)",88.33333333333333,78.5
"[79, 80)",69.9,79.5
"[80, 81)",67.25,80.5
"[81, 82)",0.5,81.5
"[83, 84)",71.25,83.5
"[84, 85)",147.0,84.5
"[85, 86)",15.0,85.5
"[86, 87)",45.0,86.5
"[87, 88)",21.0,87.5
"[88, 89)",93.75,88.5
