failure_times,task_ids,processor_ids,completion_times,categories,failure_counts
24,5,1,,0,1
81,11,4,,1,1
122,7,3,,1,1
122,14,3,,1,1
143,28,7,,2,1
143,36,7,,2,1
143,64,7,,2,1
157,71,7,,2,1
164,31,6,,2,1
164,56,6,,2,1
164,64,6,,2,2
