Category,Total Tasks,Completed Tasks,Average Completion Time,Average Waiting Time
0,37,22,6.454168049699103,0.22015230602734295
1,27,16,6.457068232358523,0.37636165393452764
2,33,22,7.512922411106597,0.9441857746634718
